brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
PLAZA,Kit 2 Pares Tênis Casual Esportivo Masculino Relogio Digital,149,90,14,57,4.4,(95)
EVER WAY,Tênis Caminhada Corrida  Macio Confortável Academia Fitness,119,90,89,92,4.8,(29)
WEST,Tênis Kit 2 Pares Mizwest 20 Promoção Masculino Garantia !!1,160,70,15,62,4.1,(459)
OLIMPAK,Tênis Masculino Olimpak Para Academia Caminhada Original,99,90,9,71,4.5,(2437)
,Sapatilha Aquática Unissex Rio Pesca Praia Neoprene Flexível,78,90,61,54,4.7,(108)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,68,40,4.6,(3788)
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,57,,4.5,(715)
OLYMPIKUS,Tênis Olympikus Dynamic Esportivo Masculino Original Ref -34,289,99,240,69,4.8,(66)
ADIDAS,Kit Tênis adidas Masculino Duramo Sl + Pochete De Corrida,579,90,57,99,,
UNDER ARMOUR,Tenis Under Armour Slight Se Cod: 15476,329,99,296,99,,
OLYMPIKUS,Olympikus Casual Urbano Ast Masculino Adultos,201,94,191,84,4.6,(14)
PROSPECT,Tênis Masculino Prospect Fly Academia Esporte Corrida Leve,69,90,44,73,4.3,(109)
EVOLTENN,Kit 3 Pares Tênis Esportivo Masculino Evoltenn Style Corrida,188,90,147,34,4.4,(1987)
NEW BALANCE,New Balance 500 V2 Masculino Adultos,379,99,284,99,4.5,(72)
REEBOK,Tênis Reebok Energen Lite Plus 3 Masculino,299,90,248,91,,
FILA,Tênis Esportivo Masculino Progress Lite Fila Adulto,299,99,233,99,4.9,(47)
UNDER ARMOUR,Tênis Under Armour Charged Wing Se Masculino Azul Original,329,90,32,,,
ASICS,Tênis Original Corrida Academia Asics Barato Do 34 Ao 43,299,90,98,96,,
ADIDAS,Tênis adidas Response Runner Unissex + Pochete De Corrida ,329,70,31,96,,
MOLEKINHO,Tênis Menino Casual Calce Fácil Dia A Dia Conforto Original,78,88,70,99,5.0,(49)
OLYMPIKUS,Tênis Masculino Taurus Olympikus *oferta*,279,99,152,91,4.8,(2125)
